appid,Name,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022
212480.0,Sonic & All-Stars Racing Transformed Collection,129.68,80.71,65.44,59.08,72.62,59.25,53.74,48.24,41.74,41.71,44.9,70.43,65.15,84.78,76.95,85.74,71.78,96.95,124.05,75.76,57.48,93.11,80.82,100.69,104.75,85.87,66.4,64.03,92.86,71.39,99.65,104.2,69.06,65.86,65.64,74.75,82.52,67.85,54.97,61.23,69.14,68.65,61.97,49.79,39.34,53.91,46.05,59.68
220160.0,Trials Evolution: Gold Edition,10.59,13.37,21.32,10.61,10.72,6.59,9.64,6.95,6.11,4.62,5.52,7.8,6.27,5.91,8.53,8.12,7.26,6.59,8.97,6.53,5.87,4.89,12.65,9.52,9.45,9.61,9.98,6.84,5.97,6.82,6.93,5.97,5.76,5.11,4.66,5.23,5.65,5.96,7.47,5.38,5.58,5.2,6.33,6.77,4.45,5.69,4.53,6.33
220820.0,Zombie Driver HD,2.83,2.97,5.31,2.54,3.23,2.49,2.33,3.38,2.55,2.41,2.51,75.05,17.09,10.67,8.81,8.35,8.52,5.43,5.02,7.96,4.7,4.63,4.37,4.37,4.05,4.13,3.66,3.4,4.61,3.22,3.3,3.5,3.31,5.88,3.75,2.95,3.88,3.12,3.51,3.16,3.63,3.43,4.28,3.53,3.21,3.83,5.21,3.57
222500.0,Rail Adventures - VR Tech Demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223450.0,Dyad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224040.0,LocoCycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226580.0,F1 2014,34.61,32.2,42.17,45.12,43.25,48.41,48.95,49.23,47.37,42.76,42.15,38.89,31.32,26.92,53.81,62.97,48.59,37.52,49.49,38.11,34.52,53.4,72.58,93.64,68.64,52.21,62.72,71.38,75.96,68.76,72.85,58.39,58.23,58.84,56.15,69.67,67.71,49.22,41.85,40.86,33.69,34.87,35.15,28.49,25.38,23.37,24.33,18.8
226780.0,MUD Motocross World Championship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228380.0,Wreckfest,346.38,304.05,464.11,281.92,255.17,389.04,432.0,440.67,708.96,609.98,688.44,778.73,758.51,570.37,616.75,710.6,1070.07,791.68,920.53,610.3,782.32,800.62,808.09,872.98,977.42,946.19,1009.73,807.32,926.39,919.94,756.43,672.52,771.39,669.89,815.03,699.31,763.06,592.45,582.3,689.46,677.67,626.49,605.74,599.13,534.56,500.05,571.39,597.72
228760.0,TrackMania² Canyon,27.91,28.75,29.3,26.63,26.07,24.2,24.6,23.5,24.79,23.29,23.42,27.24,28.64,26.99,37.82,42.03,36.28,31.82,31.18,24.66,21.28,22.54,24.43,24.82,27.26,25.11,25.83,24.88,22.59,21.0,19.89,18.62,17.73,15.63,15.49,17.76,20.01,19.28,19.05,16.94,15.92,15.86,16.65,17.68,15.88,14.54,15.27,17.36
232910.0,TrackMania² Stadium,207.87,221.26,328.94,314.39,869.04,857.52,502.14,284.48,276.53,289.06,233.41,249.77,278.98,322.77,554.83,512.48,431.27,421.54,216.59,135.86,107.35,102.56,112.52,107.84,122.79,122.48,133.0,156.03,153.5,131.26,123.36,107.87,92.64,85.14,83.11,92.46,94.64,82.98,79.98,93.91,106.69,93.98,78.37,71.54,66.11,65.21,65.54,68.51
233610.0,Distance,30.18,24.81,29.96,21.3,21.81,42.87,25.46,18.75,89.05,39.1,35.27,38.35,33.68,27.79,43.56,39.12,42.04,31.73,39.46,30.3,24.94,24.05,26.86,28.44,28.83,25.31,23.15,22.3,19.6,23.02,27.1,20.58,16.97,18.46,18.68,21.77,21.47,18.33,16.38,14.77,14.5,16.55,17.56,15.23,13.62,12.49,13.84,17.91
234490.0,Rush Bros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234630.0,Project CARS,258.64,244.73,239.38,250.53,235.89,233.58,230.89,209.26,202.79,187.88,179.32,188.01,167.88,143.24,177.45,209.37,194.13,138.65,128.55,132.43,126.63,150.14,168.46,161.7,192.16,160.88,141.19,183.83,145.03,151.94,134.25,138.38,127.26,127.63,111.48,118.31,114.01,113.72,112.82,112.31,100.77,107.03,110.37,113.77,109.05,110.0,95.63,91.08
